time,parameterized_I1,integrated_I1,error_h0p02,error_h0p01
11.100000000000001,0.9893059850309524,0.9893059850312385,2.4867219394764106e-11,1.580957587066223e-12
11.200000000000001,0.9839709235607057,0.9839709235610011,2.5645263690421416e-11,1.6324719354088302e-12
11.3,0.9787743541655375,0.978774354165843,2.644284791131213e-11,1.680433570072637e-12
11.4,0.9737476646950637,0.9737476646953787,2.7259972057436244e-11,1.730171561575844e-12
11.5,0.9689206601852426,0.9689206601855666,2.8100188842472562e-11,1.7852386235972517e-12
11.600000000000001,0.9643214535633751,0.9643214535637068,2.8959945552742283e-11,1.8385293287792592e-12
11.700000000000001,0.9599763670759044,0.9599763670762419,2.984101854508481e-11,1.893596390800667e-12
11.8,0.9559098404825311,0.9559098404828722,3.0743407819500135e-11,1.950439809661475e-12
11.9,0.9521443423638716,0.9521443423642136,3.1670666089667066e-11,2.0108359422010835e-12
12.0,0.9487002814307935,0.9487002814311338,3.26281224261038e-11,2.0730084315800923e-12
12.100000000000001,0.9455959154844324,0.9455959154847682,3.361400047197094e-11,2.135180920959101e-12
12.200000000000001,0.9428472566254072,0.9428472566257358,3.4633629297786683e-11,2.19912976717751e-12
12.3,0.9404679724026945,0.9404679724030129,3.568700890355103e-11,2.2648549702353193e-12
12.4,0.9384692837665001,0.9384692837668065,3.6775915646103385e-11,2.332356530132529e-12
12.5,0.936859861872982,0.9368598618732743,3.7900349525443744e-11,2.4016344468691386e-12
12.600000000000001,0.9356457269019495,0.9356457269022267,3.9049652400535706e-11,2.4709123636057484e-12
12.700000000000001,0.9348301530104481,0.934830153010709,4.022915334189747e-11,2.5437429940211587e-12
12.8,0.9344135842799008,0.9344135842801459,4.142997056533204e-11,2.618349981275969e-12
12.9,0.9343935669602571,0.9343935669604863,4.264144592980301e-11,2.69473332537018e-12
13.0,0.9347647034297524,0.9347647034299668,4.3854697651113383e-11,2.772893026303791e-12
13.100000000000001,0.9355186330574294,0.9355186330576303,4.505551487454795e-11,2.8492763703980017e-12
13.200000000000001,0.9366440445894997,0.9366440445896885,4.623323945907032e-11,2.922107000813412e-12
13.3,0.9381267238192877,0.9381267238194666,4.737721326364408e-11,2.9913849175500218e-12
13.4,0.9399496392063983,0.9399496392065689,4.8471449076714634e-11,3.0588864774472313e-12
13.5,0.9420930668628362,0.9420930668630005,4.950173604356678e-11,3.1228353236656403e-12
13.600000000000001,0.9445347550088362,0.9445347550089961,5.0459192380003515e-11,3.1814550993658486e-12
13.700000000000001,0.9472501267045712,0.947250126704728,5.133138358814904e-11,3.234745804547856e-12
13.8,0.9502125184615028,0.9502125184616577,5.210942788380635e-11,3.2809310823722626e-12
13.9,0.9533934512886881,0.9533934512888419,5.278621983961784e-11,3.3217872896784684e-12
14.0,0.9567629298747591,0.9567629298749123,5.334932495770772e-11,3.3573144264664734e-12
14.100000000000001,0.9602897649647069,0.9602897649648594,5.3800519594915386e-11,3.383959779057477e-12
14.200000000000001,0.9639419135621039,0.9639419135622557,5.4138027394401433e-11,3.4070524179696804e-12
14.3,0.9676868313567444,0.9676868313568947,5.4361848356165865e-11,3.419486915845482e-12
14.4,0.9714918317191591,0.9714918317193073,5.447020612336928e-11,3.426592343203083e-12
14.5,0.9753244456861753,0.97532444568632,5.446665340969048e-11,3.4283687000424834e-12
14.600000000000001,0.979152777554153,0.979152777554293,5.4356519285647664e-11,3.4230396295242826e-12
14.700000000000001,0.9829458509705058,0.9829458509706398,5.4148685535437835e-11,3.410605131648481e-12
14.8,0.9866739407468186,0.986673940746945,5.384670487273979e-11,3.391065206415078e-12
14.9,0.9903088859919624,0.99030888599208,5.345768272491114e-11,3.367972567502875e-12
15.0,0.9938243805709116,0.9938243805710186,5.299582994666707e-11,3.341327214911871e-12
15.100000000000001,0.9971962373291061,0.9971962373292014,5.2462922894847e-11,3.305800078123866e-12
15.200000000000001,1.0004026229809766,1.0004026229810588,5.1871396067326714e-11,3.270272941335861e-12
15.3,1.0034242610434496,1.0034242610435178,5.1230131248303223e-11,3.2294167340296553e-12
15.4,1.006244600699073,1.0062446006991261,5.054978657881293e-11,3.185007813044649e-12
15.5,1.008849949994935,1.0088499499949721,4.9833914772534627e-11,3.140598892059643e-12
15.600000000000001,1.0112295723161837,1.0112295723162041,4.909850304102292e-11,3.097966327914037e-12
15.700000000000001,1.013375745607293,1.0133757456072967,4.8345327741117217e-11,3.05000469325023e-12
15.8,1.0152837843386497,1.015283784338637,4.758149430017511e-11,2.9949376312288223e-12
15.9,1.016952024717959,1.0169520247179298,4.68212135729118e-11,2.9487523534044158e-12
16.0,1.0183817741130001,1.018381774112955,4.6064485559327295e-11,2.9025670755800093e-12
16.1,1.019577226073948,1.0195772260738876,4.532196840045799e-11,2.8634872251132037e-12
16.2,1.0205453427122158,1.0205453427121405,4.460076752366149e-11,2.8173019472887972e-12
16.3,1.0212957065049668,1.0212957065048776,4.390088292893779e-11,2.7746693831431912e-12
16.400000000000002,1.021840343850549,1.0218403438504462,4.3229420043644495e-11,2.7320368189975852e-12
16.5,1.0221935229043346,1.02219352290422,4.2589931581460405e-11,2.6894042548519792e-12
16.6,1.0223715283840136,1.0223715283838881,4.199307568342192e-11,2.653877118063974e-12
16.7,1.0223924161569373,1.0223924161568019,4.143885234952904e-11,2.6219026949547697e-12
16.8,1.0222757505185953,1.0222757505184508,4.093436700713937e-11,2.589928271845565e-12
16.900000000000002,1.0220423271482137,1.022042327148061,4.047606694257411e-11,2.5579538487363607e-12
17.0,1.021713884790105,1.0217138847899456,4.007816301054845e-11,2.540190280342358e-12
17.1,1.0213128087600098,1.021312808759844,3.97371024973836e-11,2.5153212845907547e-12
17.2,1.020861829413597,1.0208618294134262,3.9456438116758363e-11,2.4940050025179517e-12
17.3,1.0203837187364326,1.0203837187362577,3.9243275296030333e-11,2.48334686148155e-12
17.400000000000002,1.0199009882164345,1.0199009882162562,3.909050860784191e-11,2.4726887204451486e-12
17.5,1.0194355911361652,1.0194355911359845,3.90087961932295e-11,2.4655832930875476e-12
